,votos
0,8.270197430416042
1,8.270197430416042
2,8.270197430416042
3,8.270197430416042
4,8.270197430416042
5,8.270197430416042
6,8.270197430416042
7,8.270197430416042
8,8.270197430416042
9,8.270197430416042
10,8.270197430416042
11,8.270197430416042
12,8.270197430416042
13,8.270197430416042
14,8.270197430416042
15,8.270197430416042
16,8.270197430416042
17,8.270197430416042
18,8.270197430416042
19,8.270197430416042
20,8.270197430416042
21,8.270197430416042
22,8.270197430416042
23,8.270197430416042
24,8.270197430416042
25,8.270197430416042
26,8.270197430416042
27,8.270197430416042
28,8.270197430416042
29,8.270197430416042
30,8.270197430416042
31,8.270197430416042
32,8.270197430416042
33,8.270197430416042
34,8.270197430416042
35,8.270197430416042
36,8.270197430416042
37,8.270197430416042
38,8.270197430416042
39,8.270197430416042
40,8.270197430416042
41,8.270197430416042
42,8.270197430416042
43,8.270197430416042
44,8.270197430416042
45,8.270197430416042
46,8.270197430416042
47,8.270197430416042
48,8.270197430416042
49,8.270197430416042
50,8.270197430416042
51,8.270197430416042
52,8.270197430416042
53,8.270197430416042
54,8.270197430416042
55,8.270197430416042
56,8.270197430416042
57,8.270197430416042
58,8.270197430416042
59,8.270197430416042
60,8.270197430416042
61,8.270197430416042
62,8.270197430416042
63,8.270197430416042
64,8.270197430416042
65,8.270197430416042
66,8.270197430416042
67,8.270197430416042
68,8.270197430416042
69,8.270197430416042
70,8.270197430416042
71,8.270197430416042
72,8.270197430416042
73,8.270197430416042
74,8.270197430416042
75,8.270197430416042
76,8.270197430416042
77,8.270197430416042
78,8.270197430416042
79,8.270197430416042
80,8.270197430416042
81,8.270197430416042
82,8.270197430416042
83,8.270197430416042
84,8.270197430416042
85,8.270197430416042
86,8.270197430416042
87,8.270197430416042
88,8.270197430416042
89,8.270197430416042
90,8.270197430416042
91,8.270197430416042
92,8.270197430416042
93,8.270197430416042
94,8.270197430416042
95,8.270197430416042
96,8.270197430416042
97,8.270197430416042
98,8.270197430416042
99,8.270197430416042
100,8.270197430416042
101,8.270197430416042
102,8.270197430416042
103,8.270197430416042
104,8.270197430416042
105,8.270197430416042
106,8.270197430416042
107,8.270197430416042
108,8.270197430416042
109,8.270197430416042
110,8.270197430416042
111,8.270197430416042
112,8.270197430416042
113,8.270197430416042
114,8.270197430416042
115,8.270197430416042
116,8.270197430416042
117,8.270197430416042
118,8.270197430416042
119,8.270197430416042
120,8.270197430416042
121,8.270197430416042
122,8.270197430416042
123,8.270197430416042
124,8.270197430416042
125,8.270197430416042
126,8.270197430416042
127,8.270197430416042
128,8.270197430416042
129,8.270197430416042
130,8.270197430416042
131,8.270197430416042
132,8.270197430416042
133,8.270197430416042
134,8.270197430416042
135,8.270197430416042
136,8.270197430416042
137,8.270197430416042
138,8.270197430416042
139,8.270197430416042
140,8.270197430416042
141,8.270197430416042
142,8.270197430416042
143,8.270197430416042
144,8.270197430416042
145,8.270197430416042
146,8.270197430416042
147,8.270197430416042
148,8.270197430416042
149,8.270197430416042
150,8.270197430416042
151,8.270197430416042
152,8.270197430416042
153,8.270197430416042
154,8.270197430416042
155,8.270197430416042
156,8.270197430416042
157,8.270197430416042
158,8.270197430416042
159,8.270197430416042
160,8.270197430416042
161,8.270197430416042
162,8.270197430416042
163,8.270197430416042
164,8.270197430416042
165,8.270197430416042
166,8.270197430416042
167,8.270197430416042
168,8.270197430416042
169,8.270197430416042
170,8.270197430416042
171,8.270197430416042
172,8.270197430416042
173,8.270197430416042
174,8.270197430416042
175,8.270197430416042
176,8.270197430416042
177,8.270197430416042
178,8.270197430416042
